user	text	date	type
KimKardashian	RT @KrisJenner: Your turn west coast!! #KUWTK season 13 premieres in 15 minutes!! https://t.co/1rY8Z23IjU	Mon Mar 13 03:47:29 +0000 2017	twitter
KimKardashian	RT @khloekardashian: Pablo!!!!! 🙌🏽🙌🏽🙌🏽 #KUWTK	Mon Mar 13 01:49:52 +0000 2017	twitter
KimKardashian	RT @montalvohe: LMFAOOO at @KimKardashian for marking marking mocking  @kourtneykardash's voice 😂😂😂😂 #KUWTK ❤️🍿	Mon Mar 13 01:41:37 +0000 2017	twitter
KimKardashian	RT @BeautifulEmilyy: I'm not even listening to half of what @KimKardashian is saying in the show Bc I'm staring at her make up! 😍😍😩😩	Mon Mar 13 01:41:32 +0000 2017	twitter
KimKardashian	RT @aalXss: FIRST30 seconds AND THIS SHOW GOT MY KNEES WEAK !!!! THIS IS SO AMAZINGGGG @KimKardashian every season it gets better and bette…	Mon Mar 13 01:41:15 +0000 2017	twitter
KimKardashian	RT @Waakeupmrwest: KUWTK no.1 trend 🔥🔥	Mon Mar 13 01:35:33 +0000 2017	twitter
KimKardashian	RT @brighidmariquit: THE #KUWTK SEASON PREMIERE OPENS WITH KANYE'S 'FML' I AM SHOOK	Mon Mar 13 01:35:12 +0000 2017	twitter
KimKardashian	RT @KUWTK: Nothing turns Kim on like other people's secrets! #KUWTK https://t.co/OC69alI391	Mon Mar 13 01:35:01 +0000 2017	twitter
KimKardashian	Someone had to say it https://t.co/5FsYZqfbyA	Mon Mar 13 01:25:44 +0000 2017	twitter
KimKardashian	I really want all the tea ☕️	Mon Mar 13 01:24:54 +0000 2017	twitter
KimKardashian	Awww Miami! I miss it there ❤️🔥	Mon Mar 13 01:16:19 +0000 2017	twitter
KimKardashian	My sis @kourtneykardash is going live on Instagram stories! How does that even work join us!	Mon Mar 13 01:13:02 +0000 2017	twitter
KimKardashian	I love this opening #KUWTK season 13 starts now!	Mon Mar 13 01:01:30 +0000 2017	twitter
KimKardashian	RT @Daniieeelleeee: I'm forcing my family to watch KUWTK in hopes that they'll finally understand my lifestyle	Sun Mar 12 16:20:40 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: AFRICA\nKeeping Up With The Kardashians Season 13 premieres on Sunday, March 19 at 20:00 on E! Entertainment Africa (@D…"	Sun Mar 12 15:39:24 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: AUSTRALIA 🇦🇺 \nKeeping Up With The Kardashians Season 13 premieres on Monday, March 13 at 12pm AEDT on E! @Foxtel"	Sun Mar 12 15:00:31 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: LATIN AMERICA \nKeeping Up With The Kardashians Season 13 premieres on Tuesday, April 18 on E! @EonlineLatino"	Sun Mar 12 15:00:24 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: FRANCE 🇫🇷\nKeeping Up With The Kardashians (L'incroyable famille Kardashian) Season 13 premieres on Friday, March 17 @…"	Sun Mar 12 15:00:18 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: GERMANY 🇩🇪\nKeeping Up With The Kardashians Season 13 premieres on Monday, March 20 at 21:55 on E! Entertainment @eonli…"	Sun Mar 12 15:00:17 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: NORWAY 🇳🇴 SWEDEN 🇸🇪 DENMARK 🇩🇰 FINLAND 🇫🇮 \nKeeping Up With The Kardashians Season 13 premieres next Sunday, March 19 a…"	Sun Mar 12 14:59:53 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: SERBIA 🇷🇸 + CROATIA 🇭🇷 \nKeeping Up With The Kardashians Season 13 premieres on Sunday, March 19 at 20:00 on E!"	Sun Mar 12 14:59:50 +0000 2017	twitter
KimKardashian	Oh and I love my Rick Owens dress I'm wearing tonight 💋😘	Sun Mar 12 06:15:03 +0000 2017	twitter
KimKardashian	"So honored to give the family impact award tonight to the man who believed in me from day 1, Jon Murray of Bunim Mu… https://t.co/brRu4OlMtE"	Sun Mar 12 06:12:26 +0000 2017	twitter
KimKardashian	RT @KardashianNavy: Less than 24 hours until the #KUWTK season premiere 🙌🏻🙌🏻	Sun Mar 12 02:51:01 +0000 2017	twitter
KimKardashian	RT @britt_fairchild: Was going to ask 'why am crying?!' but I know good & well why I'm crying. Soo much lovee 😭❤️@khloekardashian @KimKarda…	Sun Mar 12 02:22:16 +0000 2017	twitter
KimKardashian	@BornToBeFvmous ❤️💋🔥	Sun Mar 12 02:21:29 +0000 2017	twitter
KimKardashian	RT @SexyNichole20: @KimKardashian I Can't Wait Until Tomorrow To Watch The Family's Keeping Up With The Kardashians!	Sun Mar 12 02:20:58 +0000 2017	twitter
KimKardashian	RT @kyliesaturn: my favorite sisterhood will come back TOMORROW. #KUWTK @KimKardashian @khloekardashian @kourtneykardash https://t.co/B1CAB…	Sun Mar 12 02:20:54 +0000 2017	twitter
KimKardashian	RT @aremirulzz: Keeping Up with the Kardashian @KUWTK is back!!! SO EXCITED TO WATCH IT TOMORROW @KimKardashian @Khloekardashian	Sun Mar 12 02:09:22 +0000 2017	twitter
KimKardashian	Kinda 💋❤️🔥 https://t.co/Sv2JRwKqBR	Sun Mar 12 02:09:15 +0000 2017	twitter
KimKardashian	Me too!!! 💋❤️ https://t.co/k9hUDlihX6	Sun Mar 12 02:08:46 +0000 2017	twitter
KimKardashian	Omg I seriously LOVE you @theashleygraham 💕 https://t.co/S1X8OejEhF	Sat Mar 11 23:15:35 +0000 2017	twitter
KimKardashian	"RT @RyanSeacrest: All the stories, from the inside... tomorrow 9/8c #KUWTK https://t.co/PZvu0R6WrO"	Sat Mar 11 23:09:23 +0000 2017	twitter
KimKardashian	Casual business talk https://t.co/9xJfIv3kHn	Sat Mar 11 21:11:05 +0000 2017	twitter
KimKardashian	"RT @Kardashianpedia: Keeping Up with The Kardashians returns with SEASON 13 on Sunday, March 12th at 9/8c on E! 🚨🚨🚨 @KUWTK https://t.co/xn3…"	Sat Mar 11 21:09:06 +0000 2017	twitter
KimKardashian	So excited tomorrow's the premiere of Keeping Up Season 13. This season's really so deep. Can't wait to live tweet and I will live snap too!	Sat Mar 11 21:07:16 +0000 2017	twitter
KimKardashian	These are my ride or dies!!!! For lyyyyfe! Happiest of birthdays to my forevers @ForeverMalika @ForeverKhadijah I l… https://t.co/QkvH7dPlVV	Sat Mar 11 04:07:16 +0000 2017	twitter
KimKardashian	Happy Birthday @jenatkinhair I love you so much!!! Have the best bday! https://t.co/JUT67cUpl0	Sat Mar 11 00:40:46 +0000 2017	twitter
KimKardashian	"RT @KimKHollywood: Weekend events are on, featuring Givenchy, Yeezy Season 4, Natalia Fedner and more 🔥 Head into the #KimKardashianGame fo…"	Sat Mar 11 00:39:15 +0000 2017	twitter
KimKardashian	RT @KKHOfficial: Let everyone see you shine as the host of the Most Eligible Bachelor TV show! 📺 https://t.co/nPYF9o6j2X	Fri Mar 10 20:02:06 +0000 2017	twitter
KimKardashian	"Season 13 of KUWTK premieres this Sunday, March 12 at 9/8c on E! https://t.co/fUB9C4b7cY"	Thu Mar 09 23:44:44 +0000 2017	twitter
KimKardashian	"RT @steph_shep: “If you think the economy is more important than the environment, try holding your breath while counting your money”    #Cl…"	Thu Mar 09 19:54:45 +0000 2017	twitter
KimKardashian	"RT @khloekardashian: Because we ALL deserve to be lifted up! Today, let’s celebrate the strong, incredible, GOOD women in our lives. #Inter…"	Wed Mar 08 17:47:52 +0000 2017	twitter
KimKardashian	Thank u to all of the strong women  who fought & continue to fight for change. #InternationalWomensDay	Wed Mar 08 16:58:08 +0000 2017	twitter
KimKardashian	OMG https://t.co/CTrmVfS81s	Wed Mar 08 07:20:27 +0000 2017	twitter
KimKardashian	🙋🏽 https://t.co/GCNjLDqTL3	Wed Mar 08 05:02:30 +0000 2017	twitter
KimKardashian	Found this pic of @riccardotisci17 & I. I remember the 1st time u dressed me in Givenchy. So many memories. I can't… https://t.co/9TXPTMHWvJ	Tue Mar 07 22:39:42 +0000 2017	twitter
KimKardashian	#5 & #2 https://t.co/bzRzrRtd0Z	Tue Mar 07 21:15:16 +0000 2017	twitter
KimKardashian	Hey beautiful girl https://t.co/MuVf27KFRP	Tue Mar 07 16:24:46 +0000 2017	twitter
KimKardashian	Today https://t.co/30ntISAOjg	Tue Mar 07 11:47:49 +0000 2017	twitter
KimKardashian	I'm into throwbacks these days. I'm 19 & cowgirl Kourt is 20 https://t.co/VwX3On3pZs	Mon Mar 06 20:36:37 +0000 2017	twitter
KimKardashian	"We're back! Sunday, March 12! #KUWTK #SEASON13 https://t.co/hTrOgk4imM"	Mon Mar 06 15:05:12 +0000 2017	twitter
KimKardashian	Palm Springs 🌴 https://t.co/Co0QvPLYed	Mon Mar 06 01:21:29 +0000 2017	twitter
KimKardashian	Everything should have an edit button and auto correct shouldn't be a fucking idiot! And PS no one ever says ducking...	Sun Mar 05 20:16:25 +0000 2017	twitter
KimKardashian	Kourt & I were 9 & 10. Not sure what's cooler Allison's LARaiders boxers or Kourt's Reebok pumps & hair cut.Me doin… https://t.co/nASDRhMaf3	Sun Mar 05 18:56:11 +0000 2017	twitter
KimKardashian	@NuchieJavorte 💕	Sat Mar 04 20:00:00 +0000 2017	twitter
KimKardashian	"RT @KKHOfficial: The latest update is now available on all platforms, including Amazon & Facebook. See you in Dublin! #KimKardashianGame ht…"	Sat Mar 04 06:43:27 +0000 2017	twitter
KimKardashian	Awww nothing better than morning group chats with @kourtneykardash @DaveGrutman @JonathanCheban @SimonHuck @larsapippen to get my day going!	Fri Mar 03 16:41:47 +0000 2017	twitter
KimKardashian	woke up and felt the vibe https://t.co/rK2DTREOR1	Fri Mar 03 02:53:35 +0000 2017	twitter
KimKardashian	Thank you Universal Studios for the fun day today @UniStudios #WizardingWorldHollywood https://t.co/tjg4sGCE2j	Fri Mar 03 02:33:28 +0000 2017	twitter
KimKardashian	RT @JadeKardashian_: @KimKardashian obsessed with my KIMOJI case 🙌 @KimKardashian https://t.co/U8Sq0MXjOW	Thu Mar 02 18:55:59 +0000 2017	twitter
KimKardashian	Maybe 2008. I can't remember	Thu Mar 02 18:48:33 +0000 2017	twitter
KimKardashian	2009 https://t.co/dKuJBNiAZl	Thu Mar 02 18:47:57 +0000 2017	twitter
KimKardashian	😍😘😍 https://t.co/BCxdTJgj1F	Thu Mar 02 14:29:02 +0000 2017	twitter
KimKardashian	Vibey https://t.co/i4XsjNOeMo	Thu Mar 02 06:49:29 +0000 2017	twitter
KimKardashian	😍😘😍 https://t.co/meEmOu8GiF	Thu Mar 02 01:40:54 +0000 2017	twitter
KimKardashian	"RT @KimKHollywood: New Looks Alert 🚨! Make sure you update your game for v6.3 to unlock two new looks, available now in the photo booth. ht…"	Thu Mar 02 01:28:34 +0000 2017	twitter
KimKardashian	I'm so happy you got them! Enjoy them!!! 😍😍😍 https://t.co/Qhj6EsJxo1	Thu Mar 02 01:16:53 +0000 2017	twitter
KimKardashian	Spent the morning at the Children's Hospital CHLA launching the campaign for Make March Matter. For more info go to https://t.co/jJhJ3qfhw0	Wed Mar 01 21:19:02 +0000 2017	twitter
KimKardashian	Tennis Time 🎾 https://t.co/GLGi0P3xdT	Tue Feb 28 21:31:55 +0000 2017	twitter
KimKardashian	"RT @MyleezaKardash: Imagine if everyone on the internet encouraged each other, complimented each other, and were just nice fucking human be…"	Tue Feb 28 21:22:56 +0000 2017	twitter
KimKardashian	So you know I love Ireland! My honeymoon was there! So had to add an update to my game so you can go to a pub there… https://t.co/5UXUfYF1lb	Tue Feb 28 16:51:16 +0000 2017	twitter
KimKardashian	Look at his cheeks and angry face lol https://t.co/Rf0MlYAu1C	Tue Feb 28 02:08:53 +0000 2017	twitter
KimKardashian	Me and my Sainty boo a few months ago... https://t.co/3OQpP7gc2X	Tue Feb 28 02:03:21 +0000 2017	twitter
KimKardashian	Tutorials are back!!!! Go to my app or https://t.co/M0m4mjqwvP https://t.co/BXH3zaXvi2	Mon Feb 27 19:57:32 +0000 2017	twitter
KimKardashian	RT @KimKHollywood: Currently obsessed with these looks!!! https://t.co/mnzhDTwYFb	Mon Feb 27 03:00:49 +0000 2017	twitter
KimKardashian	RT @AKutieNameKim: Sooo I'm up early moving into my new house and.....😱. Cannot believe it 😭 #KIMOJI https://t.co/I0RDCSSKe7	Sun Feb 26 17:15:32 +0000 2017	twitter
KimKardashian	@musicjcr16 @tylerseimone ❤️❤️❤️	Sun Feb 26 04:49:34 +0000 2017	twitter
KimKardashian	I got you ❤️ https://t.co/oZGoueXAit	Sun Feb 26 04:45:51 +0000 2017	twitter
KimKardashian	What size are you? I will send you some ❤️😘💋 https://t.co/KBRRk8A32X	Sun Feb 26 04:36:17 +0000 2017	twitter
KimKardashian	😂😂 https://t.co/plil56eOnA	Sun Feb 26 04:32:14 +0000 2017	twitter
KimKardashian	Send your address & I will send you some Yeezys xo https://t.co/wpgFPBz5m8	Sun Feb 26 04:19:11 +0000 2017	twitter
KimKardashian	What size Yeezy are you? I got you! https://t.co/qi4G2pfLRc	Sun Feb 26 04:09:39 +0000 2017	twitter
KimKardashian	What size are you? I will send you a pair ❤️💋 https://t.co/M3qiMKEgec	Sun Feb 26 04:04:38 +0000 2017	twitter
KimKardashian	@chanceneavez what size Yeezy's are you? I will send you some and you can try?!?!	Sun Feb 26 04:00:19 +0000 2017	twitter
KimKardashian	Zebra 350 ❤️ https://t.co/86uOo0OOTI	Sun Feb 26 03:23:35 +0000 2017	twitter
KimKardashian	RT @sarahrhoward: 'It was never about bathrooms. Just like it was never about water fountains.' What are people so afraid of?! #transrights	Fri Feb 24 05:59:45 +0000 2017	twitter
KimKardashian	RT @evan_greer: It's that time again to remind everyone more members of Congress have been arrested for misconduct in bathrooms than trans…	Fri Feb 24 01:36:30 +0000 2017	twitter
KimKardashian	Just read this heart breaking story! Sending prayers out to their family Please retweet #WhyNotDevin 💔🙏🏽💔🙏🏽\n\nhttps://t.co/tPshopfepH	Fri Feb 24 00:40:09 +0000 2017	twitter
KimKardashian	RT @MrBusby4o8: The police are the biggest gang in the U.S. and they are loyal to their own no matter WHAT.  Smh https://t.co/iIwmUSG2u4	Thu Feb 23 22:42:02 +0000 2017	twitter
KimKardashian	I found this funny video of my dad and I at my Sweet 16. It's up on https://t.co/M0m4mjqwvP	Thu Feb 23 00:06:49 +0000 2017	twitter
KimKardashian	"RT @KimKanyeKimYeFC: In Loving Memory, Robert Kardashian. ❤️🙏🏾 https://t.co/HXvYHJ4sZx"	Wed Feb 22 20:16:28 +0000 2017	twitter
KimKardashian	I write my kids a letter each year reflecting on the year we had together & fun memories. I'll give the letters to them when they turn 21 ❤️	Wed Feb 22 20:08:48 +0000 2017	twitter
KimKardashian	I found a 3 page letter my dad wrote me right after high school about life and it's so special to have. I re-read it last night ❤️	Wed Feb 22 20:06:49 +0000 2017	twitter
KimKardashian	Happy Birthday dad! I love this family photo. I love our family. Thank you for EVERYTHING. I'm so grateful you are… https://t.co/m8lQLiD93G	Wed Feb 22 20:05:21 +0000 2017	twitter
KimKardashian	RT @KrisJenner: There’s not a day that goes by that we don’t miss you. https://t.co/zCFpaWBZaQ	Wed Feb 22 20:00:31 +0000 2017	twitter
KimKardashian	I didn't tweet Happy Birthday to my bff @JonathanCheban. He's the funniest person I know and deserves all the happiness in the world!!!	Wed Feb 22 16:56:07 +0000 2017	twitter
KimKardashian	"RT @lala: My dear friend @sherrieshepherd text me this am. Her son Jeffrey's classmate is missing. 😢His name is Malek, he is … https://t.co…"	Wed Feb 22 16:46:01 +0000 2017	twitter
KimKardashian	@ForeverMalika she's so big I can't believe it! happy birthday Celine!!!! So much fun celebrating her today!	Mon Feb 20 04:46:35 +0000 2017	twitter
KimKardashian	Celine's party was so much fun! Happy Birthday baby girl!!!! https://t.co/nEx81LP5ed	Mon Feb 20 04:45:26 +0000 2017	twitter
KimKardashian	Today's vibes channeling Paris! Happy Birthday @ParisHilton Can't wait to celebrate with you soon! 🔥💋🎈🎉 https://t.co/yav6il6sdB	Sat Feb 18 01:23:15 +0000 2017	twitter
KimKardashian	Trifecta https://t.co/owF7EroibT	Fri Feb 17 19:15:28 +0000 2017	twitter
KimKardashian	@kimyonceee we're starting to add it all back in!	Fri Feb 17 18:40:05 +0000 2017	twitter
KimKardashian	New pics on my app #KKWAPP https://t.co/vfvS0wNp6L	Fri Feb 17 18:30:19 +0000 2017	twitter
KimKardashian	RT @FastCoDesign: What it's like to be @KimKardashian's personal emoji designer https://t.co/fP9FwaOvHv https://t.co/dIR0wcPdln	Fri Feb 17 17:09:19 +0000 2017	twitter
KimKardashian	RT @KKHOfficial: Get 5-Star ratings on gigs this weekend to earn stunning new clothes. You'll be the talk of Fashion Week! #KimKardashianGa…	Fri Feb 17 17:09:10 +0000 2017	twitter
KimKardashian	RT @kuwthewests: More photos from this unbelievable hot shoot on Kim's app or in https://t.co/so7TuQfJkW 🔥 https://t.co/FcudTppDkj	Thu Feb 16 23:17:49 +0000 2017	twitter
KimKardashian	RT @KimKanyeKimYeFC: SWIPE the pic left on the #KKWapp for MORE 🔥🔥🔥 https://t.co/HC417l4Lr5	Thu Feb 16 23:17:25 +0000 2017	twitter
KimKardashian	"Vivienne Westwood top, Coach coat, Adidas pants, Yeezy boots #NYFW https://t.co/WcMN9Kx5XI"	Thu Feb 16 23:17:16 +0000 2017	twitter
KimKardashian	I love seeing the amazing transformations on #RevengeBody! So proud of you @khloekardashian! Everyone watch tonight… https://t.co/BcQpLZxG0A	Thu Feb 16 23:04:02 +0000 2017	twitter
KimKardashian	So proud of my baby for his amazing show today! It was so good! I'm so SO proud of him!!! #yeezyseason5	Thu Feb 16 04:51:24 +0000 2017	twitter
KimKardashian	Burgundy Bae #yeezyseason5 https://t.co/LLoLZSNDFK	Thu Feb 16 04:44:32 +0000 2017	twitter
KimKardashian	RT @TeamKanyeDaily: #YeezySeason4 footwear and Zine now available for purchase. https://t.co/ivUmPcijZu	Thu Feb 16 03:41:52 +0000 2017	twitter
KimKardashian	"So I went to Kylie's pop up shop today, stole lip kits &gave them out to everyone in the store for Valentine's!She… https://t.co/VZwWwto83f"	Tue Feb 14 23:50:42 +0000 2017	twitter
KimKardashian	@MolestMeKardash yep!	Tue Feb 14 23:42:53 +0000 2017	twitter
KimKardashian	Happy Valentine's Day https://t.co/p4VIPntyHx	Tue Feb 14 18:37:11 +0000 2017	twitter
KimKardashian	I see people retweeting this from 7 years ago 😂Kourtney hacked me & tweeted this as a joke! I'm dying seeing my old… https://t.co/gvcvFFzl6C	Tue Feb 14 08:10:36 +0000 2017	twitter
KimKardashian	NYFW here we come!!! Thank you @jetluxlife!!! #jetluxlife✈️ https://t.co/Ah9J08AijY	Tue Feb 14 03:10:03 +0000 2017	twitter
